vestigings_id,brin,vestigingsnummer,school_name,street,house_no,house_add,postcode,city,province,municipality,municipality_code,phone_formatted,website,has_website,board,board_code,denomination,corop,rmc_regio,onderwijsgebied,vacation_region,education_structure,levels_offered,languages,PRO,VMBO,MAVO,HAVO,VWO,BRUGJAAR,enrollment_total,school_size_category,students_per_grade,latitude,longitude
02EB04,02EB,4,Christelijk Scholengemeenschap Vincent van Gogh Lyceum Havo Mavo Vbo Lwoo,Salland,,4,9405GM,ASSEN,Drenthe,ASSEN,106,059-2390290,www.csvincentvangogh.nl,True,,13273,Bijzonder,Noord-Drenthe,Noord- en Midden Drenthe,Assen-Hoogeveen-Emmen,Noord,VBO/MAVO,"VMBO, MAVO",Dutch,False,True,True,False,False,False,4409.0,Very Large,734.8333333333334,52.9849746,6.5355863
25PW51,25PW,51,Drenthe College Terra,Vredeveldseweg,,55,9404CC,ASSEN,Drenthe,ASSEN,106,059-2312289,,False,,40872,Overige,Noord-Drenthe,Noord- en Midden Drenthe,Assen-Hoogeveen-Emmen,Noord,VBO,VMBO,Dutch,False,True,False,False,False,False,,Unknown,,52.9873351,6.5838614
02UV05,02UV,5,Gomarus College voor Vwo Havo Mavo Vbo Lwoo,Mr Groen v Prinstererln,,20,9402KD,ASSEN,Drenthe,ASSEN,106,059-2342228,www.gomaruscollege.nl,True,,41789,Bijzonder,Noord-Drenthe,Noord- en Midden Drenthe,Assen-Hoogeveen-Emmen,Noord,VBO/MAVO,"VMBO, MAVO",Dutch,False,True,True,False,False,False,1765.0,Large,294.1666666666667,53.0015539,6.5630046
20LO00,20LO,0,Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo,Salland,,4,9405GM,ASSEN,Drenthe,ASSEN,106,059-2390290,www.nassauvincent.nl,True,,13273,Openbaar,Noord-Drenthe,Noord- en Midden Drenthe,Assen-Hoogeveen-Emmen,Noord,HAVO/VWO,"HAVO, VWO",Dutch,False,False,False,True,True,False,9883.0,Very Large,1647.1666666666667,52.9849746,6.5355863
20LO04,20LO,4,Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo,A.H.G. Fokkerstraat,,1,9403AM,ASSEN,Drenthe,ASSEN,106,059-2333160,,False,,13273,Openbaar,Noord-Drenthe,Noord- en Midden Drenthe,Assen-Hoogeveen-Emmen,Noord,VBO/MAVO,"VMBO, MAVO",Dutch,False,True,True,False,False,False,5571.0,Very Large,928.5,53.0028875,6.5731745
20LO08,20LO,8,Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo,Merwedestraat,,16,9406RM,ASSEN,Drenthe,ASSEN,106,059-2333176,,False,,13273,Openbaar,Noord-Drenthe,Noord- en Midden Drenthe,Assen-Hoogeveen-Emmen,Noord,VBO/MAVO,"VMBO, MAVO",Dutch,False,True,True,False,False,False,503.0,Medium,83.83333333333333,53.0036835,6.5391326
20LO10,20LO,10,Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo,Echtenstraat,,3,9402JA,ASSEN,Drenthe,ASSEN,106,059-2333176,,False,,13273,Openbaar,Noord-Drenthe,Noord- en Midden Drenthe,Assen-Hoogeveen-Emmen,Noord,BRUGJAAR,BRUGJAAR,Dutch,False,False,False,False,False,True,,Unknown,,53.0045474,6.5528481
18BR00,18BR,0,School voor Praktijkonderwijs Assen,Zwartwatersweg,,202,9406NN,ASSEN,Drenthe,ASSEN,106,059-2340973,www.pro-assen.nl,True,,10053,Openbaar,Noord-Drenthe,Noord- en Midden Drenthe,Assen-Hoogeveen-Emmen,Noord,PRO,PRO,Dutch,True,False,False,False,False,False,2503.0,Large,417.1666666666667,53.0084166,6.5522768
18BR01,18BR,1,School voor Praktijkonderwijs Assen,Bosrand,,2,9401SL,ASSEN,Drenthe,ASSEN,106,,,False,,10053,Openbaar,Noord-Drenthe,Noord- en Midden Drenthe,Assen-Hoogeveen-Emmen,Noord,PRO,PRO,Dutch,True,False,False,False,False,False,,Unknown,,52.9858434,6.5473576
02EB00,02EB,0,Stichting Christelijk Voortgezet Onderw Vincent van Gogh VWO Havo Mavo Vbo Lwoo,Selma Lagerloflaan,,3,9406KB,ASSEN,Drenthe,ASSEN,106,059-2390290,www.csvincentvangogh.nl,True,,13273,Bijzonder,Noord-Drenthe,Noord- en Midden Drenthe,Assen-Hoogeveen-Emmen,Noord,HAVO/VWO,"HAVO, VWO",Dutch,False,False,False,True,True,False,8196.0,Very Large,1366.0,53.001883,6.5474423
