vestigings_id,brin,vestigingsnummer,school_name,street,house_no,house_add,postcode,city,province,municipality,municipality_code,phone_formatted,website,has_website,board,board_code,denomination,corop,rmc_regio,onderwijsgebied,vacation_region,education_structure,levels_offered,languages,PRO,VMBO,MAVO,HAVO,VWO,BRUGJAAR,enrollment_total,school_size_category,students_per_grade
02EB04,02EB,04,Christelijk Scholengemeenschap Vincent van Gogh Lyceum Havo Mavo Vbo Lwoo,Salland,,4,9405GM,ASSEN,Drenthe,ASSEN,106,059-2390290,www.csvincentvangogh.nl,True,,13273,Bijzonder,Noord-Drenthe,Noord- en Midden Drenthe,Assen-Hoogeveen-Emmen,Noord,VBO/MAVO,"VMBO, MAVO",Dutch,False,True,True,False,False,False,4409.0,Very Large,734.8333333333334
25PW51,25PW,51,Drenthe College Terra,Vredeveldseweg,,55,9404CC,ASSEN,Drenthe,ASSEN,106,059-2312289,,False,,40872,Overige,Noord-Drenthe,Noord- en Midden Drenthe,Assen-Hoogeveen-Emmen,Noord,VBO,VMBO,Dutch,False,True,False,False,False,False,,Unknown,
02UV05,02UV,05,Gomarus College voor Vwo Havo Mavo Vbo Lwoo,Mr Groen v Prinstererln,,20,9402KD,ASSEN,Drenthe,ASSEN,106,059-2342228,www.gomaruscollege.nl,True,,41789,Bijzonder,Noord-Drenthe,Noord- en Midden Drenthe,Assen-Hoogeveen-Emmen,Noord,VBO/MAVO,"VMBO, MAVO",Dutch,False,True,True,False,False,False,1765.0,Large,294.1666666666667
20LO00,20LO,00,Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo,Salland,,4,9405GM,ASSEN,Drenthe,ASSEN,106,059-2390290,www.nassauvincent.nl,True,,13273,Openbaar,Noord-Drenthe,Noord- en Midden Drenthe,Assen-Hoogeveen-Emmen,Noord,HAVO/VWO,"HAVO, VWO",Dutch,False,False,False,True,True,False,9883.0,Very Large,1647.1666666666667
20LO04,20LO,04,Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo,A.H.G. Fokkerstraat,,1,9403AM,ASSEN,Drenthe,ASSEN,106,059-2333160,,False,,13273,Openbaar,Noord-Drenthe,Noord- en Midden Drenthe,Assen-Hoogeveen-Emmen,Noord,VBO/MAVO,"VMBO, MAVO",Dutch,False,True,True,False,False,False,5571.0,Very Large,928.5
20LO08,20LO,08,Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo,Merwedestraat,,16,9406RM,ASSEN,Drenthe,ASSEN,106,059-2333176,,False,,13273,Openbaar,Noord-Drenthe,Noord- en Midden Drenthe,Assen-Hoogeveen-Emmen,Noord,VBO/MAVO,"VMBO, MAVO",Dutch,False,True,True,False,False,False,503.0,Medium,83.83333333333333
20LO10,20LO,10,Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo,Echtenstraat,,3,9402JA,ASSEN,Drenthe,ASSEN,106,059-2333176,,False,,13273,Openbaar,Noord-Drenthe,Noord- en Midden Drenthe,Assen-Hoogeveen-Emmen,Noord,BRUGJAAR,BRUGJAAR,Dutch,False,False,False,False,False,True,,Unknown,
18BR00,18BR,00,School voor Praktijkonderwijs Assen,Zwartwatersweg,,202,9406NN,ASSEN,Drenthe,ASSEN,106,059-2340973,www.pro-assen.nl,True,,10053,Openbaar,Noord-Drenthe,Noord- en Midden Drenthe,Assen-Hoogeveen-Emmen,Noord,PRO,PRO,Dutch,True,False,False,False,False,False,2503.0,Large,417.1666666666667
18BR01,18BR,01,School voor Praktijkonderwijs Assen,Bosrand,,2,9401SL,ASSEN,Drenthe,ASSEN,106,,,False,,10053,Openbaar,Noord-Drenthe,Noord- en Midden Drenthe,Assen-Hoogeveen-Emmen,Noord,PRO,PRO,Dutch,True,False,False,False,False,False,,Unknown,
02EB00,02EB,00,Stichting Christelijk Voortgezet Onderw Vincent van Gogh VWO Havo Mavo Vbo Lwoo,Selma Lagerloflaan,,3,9406KB,ASSEN,Drenthe,ASSEN,106,059-2390290,www.csvincentvangogh.nl,True,,13273,Bijzonder,Noord-Drenthe,Noord- en Midden Drenthe,Assen-Hoogeveen-Emmen,Noord,HAVO/VWO,"HAVO, VWO",Dutch,False,False,False,True,True,False,8196.0,Very Large,1366.0
